Date,Value
199708,-0.71
199808,2.59
199908,-0.06
200008,-0.4
200108,-0.78
200208,0.81
200308,-1.13
200408,1.93
200508,-0.51
200608,0.5
200708,3.3
200808,5.32
200908,4.7
201008,6.52
201108,-0.57
201208,-3.95
201308,-1.65
201408,3.01
201508,3.78
201608,4.17
201708,1.89
201808,2.48
201908,4.13
202008,-1.46
202108,-1.08
202208,-1.07
202308,-2.36
202408,-0.08
202508,2.39
202608,1.1
